frame,dx,dy,angle
160, -14.532018, 11.943491, -0.014600
161, -30.010624, -7.755393, -0.011639
162, -17.011111, -16.287221, -0.008585
163, -4.180759, -3.188224, -0.004689
164, 0.476280, -1.600545, -0.000213
165, 5.729457, -10.753862, 0.010897
166, 6.765823, -13.604873, 0.014906
167, 15.688983, 13.609494, 0.021683
168, 9.810466, 23.460610, 0.019915
169, -5.256365, -15.701446, 0.015258
170, -3.957604, -14.826396, 0.010333
171, -38.425462, -57.187954, -0.001907
172, -13.735075, -31.925772, -0.011949
173, -0.830584, -21.523004, -0.011920
174, -14.093069, 2.644630, -0.006736
175, -1.561502, 4.416695, -0.004961
176, 2.762957, 0.328504, 0.002242
177, 4.004527, 11.341437, 0.007331
178, 38.543795, 38.171217, 0.014115
179, 9.264634, 10.508955, 0.004284
180, -5.285818, 10.944374, -0.005431
181, -0.045223, 19.490333, -0.017493
182, 9.587813, 5.457365, -0.023394
183, 4.999987, -28.215660, -0.018375
184, 0.711258, -24.411490, -0.015821
185, 3.877019, -4.711464, -0.005102
186, -3.566854, -4.905193, 0.004115
187, 6.646008, -11.097388, 0.015833
188, 18.342054, -0.773145, 0.015976
189, 11.620507, -3.609181, 0.015516
190, -1.010500, -14.919668, 0.016303
191, -4.255738, -17.407598, 0.011691
192, -27.085959, -57.481280, -0.001716
193, -11.570078, -46.516443, -0.008039
194, 16.088688, -10.825894, -0.015877
195, -17.596756, 0.871072, -0.004615
196, 0.257386, 0.952098, -0.004873
197, 8.327534, -3.465505, 0.003228
198, -1.519456, -2.853616, 0.007474
199, 23.073899, 49.981756, 0.001417
200, 56.244867, 72.249054, -0.001361
201, -0.406932, 38.863109, -0.005355
202, -10.823164, 17.340902, -0.002758
203, -15.413854, 6.727489, -0.008698
204, -27.061674, 8.047302, -0.016372
205, -36.257428, -5.775956, -0.023208
206, -18.494614, 4.866184, -0.025337
207, -18.804036, 3.996065, -0.015584
208, -10.598227, -3.179223, -0.000743
209, -0.638120, -7.644822, 0.007233
210, 7.339177, -6.576738, 0.013208
211, -8.069463, -20.216176, 0.019007
212, -0.403250, -27.519585, 0.027500
213, -15.064516, -61.129545, 0.023815
214, -27.649821, -56.804857, 0.005363
215, -16.238012, -37.851652, 0.001521
216, -39.332720, -20.119939, -0.014708
233, -13.306048, -18.479500, 0.014921
234, -35.694254, -54.106561, 0.006391
235, -38.597603, -29.511779, -0.014833
236, -13.428309, -37.335942, 0.008045
237, -36.009630, -44.358607, 0.003150
238, -18.913381, -0.457783, -0.008879
239, -10.210247, 8.725632, -0.012049
240, -0.823019, 8.345730, -0.003182
241, -9.278704, 16.131606, 0.001822
242, 10.435953, 41.708661, 0.007224
243, 4.326192, 20.280644, 0.012394
244, -2.952365, 15.554851, 0.004651
245, -12.271469, 5.958857, -0.006157
246, -19.441200, 4.834026, -0.009820
247, -27.600301, -20.164442, -0.004627
248, -20.242710, -9.310265, -0.016987
249, -13.061234, 0.269914, -0.012532
250, -1.549010, -2.073833, -0.000841
251, 10.222054, -15.053071, 0.016893
252, 6.425201, -17.018820, 0.021561
253, 3.877536, 18.842826, 0.021113
254, -11.365772, -8.098209, 0.010055
255, -16.029425, -7.596978, -0.000955
256, -27.043608, -40.109937, -0.012806
257, -22.202568, 5.572274, -0.019262
258, -7.577853, -20.249364, -0.006682
259, -2.213025, -3.090189, 0.000569
260, -0.028687, 5.115353, -0.004616
261, -4.807206, 4.232522, -0.002068
262, 3.067951, 18.412270, -0.001657
263, 20.152475, 43.758170, 0.002313
264, 12.944400, 22.070936, 0.006556
265, -6.320703, 28.254361, -0.007568
266, -27.405141, 15.881127, -0.019920
267, -22.195429, 13.880834, -0.021340
268, -16.184517, -19.047789, -0.008670
269, -11.540718, -15.681962, -0.007140
270, -1.877425, -8.117506, 0.004406
271, 3.102225, -13.049994, 0.014083
272, 3.181308, -20.828612, 0.021657
273, -2.672005, -6.556079, 0.020568
274, 4.261963, 20.706006, 0.015337
275, -5.611440, -6.353785, 0.005770
276, 7.801222, -13.540217, 0.004314
277, 6.954727, -71.640601, -0.002733
278, -29.287229, -34.782955, -0.009930
279, -20.744936, -19.240669, -0.000337
280, -25.005761, -22.501651, 0.000263
281, -21.691437, 17.553816, -0.014431
282, -12.801810, 9.003672, -0.006352
283, -17.212927, 8.865462, 0.001183
284, -11.104486, 28.889001, -0.001281
285, 31.983109, 71.654391, 0.002559
286, -7.380876, 38.907795, 0.004295
287, -12.100329, 10.985206, 0.007927
288, -11.557302, -5.369956, 0.003154
289, -7.328732, 6.379080, -0.007548
290, -17.430139, 4.975039, -0.011971
291, -13.125787, 6.975185, -0.014285
292, 8.840539, 6.346107, -0.003640
293, 25.536245, 26.278864, 0.009153
294, 1.911277, 22.730848, 0.020517
295, -4.312033, 21.870690, 0.017864
296, -4.833375, -1.801812, 0.008499
297, -11.311250, -9.105937, 0.002794
298, -19.373463, -46.278019, -0.002335
299, -14.585563, -45.366020, -0.014845
300, -19.593912, -30.784022, -0.012160
301, -19.153323, -4.697934, -0.011630
302, -23.440456, 9.712734, -0.019975
303, -19.872647, 14.033095, -0.017318
304, -7.663258, 6.136262, -0.004286
305, -0.666569, 17.772140, 0.003603
306, 25.015494, 44.334643, 0.007716
307, 14.000908, 2.446776, 0.021114
308, -0.721871, 0.804953, 0.005793
309, -15.620016, -3.127297, -0.000816
310, -19.460388, 2.858374, -0.011592
311, -10.188547, -17.488961, -0.009393
312, -3.901128, -25.635175, -0.008489
313, -11.140520, -10.148589, -0.001740
314, 4.193492, -12.170394, 0.011933
315, 0.203765, -21.278020, 0.018989
316, -0.687179, -18.802262, 0.016555
317, -9.747472, -13.173354, 0.007940
318, 1.923054, -11.636652, 0.009645
319, 10.830410, -69.597847, 0.010897
320, -20.551062, -57.445837, -0.005979
321, -24.772134, -29.394940, -0.010080
322, -17.175332, -23.626665, -0.005765
323, -14.428459, -19.804935, -0.001107
324, -12.110750, 8.741689, -0.006166
325, -13.520675, 4.840288, -0.002129
326, 0.196710, 25.818797, 0.002792
327, 8.733262, 49.554769, 0.005924
328, 16.371072, 21.292423, 0.021484
329, -1.368722, 13.898459, 0.005807
330, -17.644359, 6.259102, -0.004145
331, -26.425162, 11.955117, -0.017621
332, -25.730866, 1.061859, -0.020134
333, -20.238940, -25.334009, -0.019700
334, -10.863002, -11.421725, -0.013415
335, 1.565102, 3.131854, 0.001108
336, 8.266418, -9.234497, 0.018966
337, 9.265880, 4.058036, 0.019209
338, 9.590108, 14.136768, 0.018997
339, -4.056721, -6.412719, 0.010472
340, 5.077386, -3.234001, 0.009919
341, -31.655975, -28.919152, 0.010727
342, -30.612706, -22.022795, -0.006397
343, -46.621781, -11.870927, -0.011589
344, -29.418613, 5.458068, -0.015391
345, -23.441367, 4.695373, -0.010223
346, -23.080706, 15.213027, -0.017423
347, -29.899777, 12.168644, -0.016609
348, -11.678186, 42.189914, -0.019411
349, 16.697864, 33.484823, 0.009416
350, 9.010688, 21.519923, 0.014421
351, -7.503420, 0.227703, 0.016538
352, -22.183457, -11.262748, 0.003656
353, -36.567252, -23.108385, -0.001979
354, -37.896540, -16.295574, -0.012616
355, -27.055706, -13.300622, -0.011545
356, -14.563954, -0.146048, -0.006045
357, 5.812091, -6.447223, 0.008130
358, -2.124871, -11.017730, 0.016475
359, -5.649482, 21.375070, 0.018223
360, -4.620828, 3.365391, 0.011729
361, -4.379010, -1.089314, 0.002228
362, -32.692926, -13.312225, -0.004735
363, -37.055692, -31.985239, -0.008573
364, -38.656005, -25.458042, -0.009647
365, -38.213179, -29.974850, -0.011826
366, -35.605617, -25.228203, -0.011402
367, -19.139138, 9.455163, -0.014883
368, -9.941315, 8.819746, -0.007973
369, -6.953162, 37.954763, -0.004397
370, 9.971212, 61.175769, 0.005693
371, 13.339054, 40.490272, 0.022252
372, -2.437249, 19.642925, 0.014396
373, -10.152180, 6.713024, 0.002109
374, -23.917807, 10.886934, -0.015860
375, -23.957615, 15.119916, -0.021931
376, -19.184422, -2.585745, -0.010485
377, -20.929509, -10.116637, -0.013741
378, -18.046932, -6.969422, -0.004244
379, -12.107319, -7.181578, 0.001321
380, -6.840612, -16.417672, 0.013195
381, -6.050032, -23.565390, 0.020706
382, -14.256004, -13.035493, 0.015350
383, -12.827708, -13.053558, 0.009325
384, -18.503249, -8.813768, -0.000502
385, -20.609059, -70.202139, 0.008343
386, -33.546434, -30.154108, -0.001712
387, -40.821644, -49.749346, -0.016348
388, -29.528286, 0.266917, -0.016064
389, -11.174664, -1.554997, -0.002544
390, -4.939836, 4.182155, 0.007846
391, -22.055964, 40.117448, 0.003828
392, 5.223333, 59.277792, 0.001505
393, 22.605047, 48.106310, 0.012626
394, 8.745627, 12.692557, 0.014004
395, -0.913088, 5.945484, 0.009382
396, -11.481577, -5.161826, 0.002159
397, -15.860862, 8.372358, -0.010583
398, -28.438380, 7.763034, -0.016526
399, 6.792254, -2.864060, -0.016475
400, -6.383770, -0.607055, -0.011252
401, -2.590758, 15.344695, -0.011192
402, 7.110928, 20.764296, 0.002144
403, -3.044810, 10.831316, 0.005372
404, -5.832992, 5.227420, 0.007901
405, -2.053602, -10.308209, 0.009902
406, -4.965240, -11.524562, 0.008742
407, -30.606982, -47.303568, 0.011130
408, -48.852173, -35.979824, -0.015671
409, -44.354899, -47.769817, -0.013399
410, -24.047812, -5.346672, -0.016812
411, -4.921450, 9.482284, -0.007068
412, -12.441253, -4.587076, -0.000093
413, -9.152271, -1.792714, -0.000050
414, -0.473490, 36.193420, -0.002078
415, 37.701321, 57.392568, 0.018147
416, 6.966278, 13.402267, 0.023096
417, -3.661686, 7.473605, 0.014177
418, -4.236054, -9.201365, 0.006057
419, 16.754100, -12.792124, -0.000580
420, 11.364503, -40.641789, -0.012219
421, -6.012892, -24.175004, -0.022362
422, -5.092324, -13.171667, -0.019132
423, -10.374896, -1.162486, -0.011248
424, -3.680471, 5.048533, -0.002913
425, -13.050720, 18.251676, -0.003192
426, 14.709712, 40.440489, 0.006175
427, -3.313407, 8.632410, 0.003226
428, -2.339599, 1.007196, 0.003637
429, -7.946908, -13.642316, 0.007972
430, -14.818766, -52.875201, 0.012300
431, -33.549087, -73.622346, 0.013175
432, -21.495834, -25.687739, -0.000844
433, -9.094310, -31.934853, 0.013860
434, -37.119540, -8.800126, -0.006636
435, -17.899812, 16.811631, -0.016143
436, -22.083880, 30.846050, -0.028877
437, -5.383966, 66.911695, -0.036336
438, 27.676628, 69.005883, -0.028261
439, 30.526831, 31.412396, -0.009072
440, 2.901416, 12.138645, -0.006976
441, 7.125863, 7.343394, -0.001974
442, 4.822221, -12.584086, 0.008098
443, 3.730174, -8.923499, 0.007074
444, 12.259557, -30.650574, 0.005311
445, 9.865701, -39.406498, -0.002338
446, 2.291887, -24.122130, -0.001317
447, -2.169237, -3.469389, 0.003844
448, 6.794694, 0.206267, 0.005264
449, -7.689209, 6.527464, -0.003639
450, -8.080149, 39.831968, -0.015696
451, 4.065175, 26.421606, -0.000478
452, -2.967675, 16.369037, -0.003101
453, -1.477003, 0.085831, 0.004909
454, -2.426155, -2.935182, 0.005165
455, -0.175220, -3.830980, 0.006091
456, -3.617970, -2.547682, 0.000471
457, 11.048271, -40.689722, 0.006448
458, 11.361001, -59.098059, 0.007273
