yıl,tez no,yazar,üni,enstitü,abd,bd,doktora/yl,dil,amaç,fpga donanımı,platform,tasarım dili,yöntem,akademik katkı türü
2022,712282,ERDOĞAN BERKAY TEKİNCAN, Başkent Üniversitesi,fbe,Bilgisayar Mühendisliği,,yl,tr,,,,,,
2022,710899,MUHAMMET TAHA ATAŞ,Fırat Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,Elektronik,yl,tr,,,,,,
2022,709500,BARIŞ DAL, İzmir Ekonomi Üniversitesi ,Lisansüstü Eğitim Enstitüsü ,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2022,707179,ZEYNEP NUR DOĞANER,Marmara Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2022,707083,OMAR MHMOOD ABDULHADİ,İstanbul Gelişim Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2022,717121,REYHAN SAĞ,Karadeniz Teknik Üniversitesi,fbe, Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2022,786737,MUSTAFA TAŞCI,Balıkesir Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,dr,tr,,,,,,
2022,780037,AHMED ALGHHRIUNI,Karabük Üniversitesi ,Lisansüstü Eğitim Enstitüsü ,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2022,775109,ABDALLA M MOHAMED ELSALHIN,Karabük Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
2022,770647,ESRA İNCE,Fırat Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,Elektronik,dr,tr,,,,,,
2022,770337,MOHAMMED SAEGAN ABDULLAH TARZZEBASHE,Altınbaş Üniversitesi,Lisansüstü Eğitim Enstitüsü , Elektrik ve Bilgisayar Mühendisliği,,yl,ing,,,,,,
2022,768354,KARRAR MOHAMMED NOORI ALYABES,Altınbaş Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik ve Bilgisayar Mühendisliği,Elektrik ve Bilgisayar,yl,ing,,,,,,
2022,768167,KADİR KÖSE,Gebze Teknik Üniversitesi,fbe,Bilgisayar Mühendisliği,,yl,tr,,,,,,
2023,836973,RABİA YILMAZ,Çankırı Karatekin Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2023,791412,MEHMET RIZA SARAÇ,Fırat Üniversitesi,fbe,ekatronik Mühendisliği,Bilgisayar Sistemleri,dr,tr,,,,,,
2023,792814,HALİL ASİL AYDIN,Yıldız Teknik Üniversitesi,fbe,Elektronik ve Haberleşme Mühendisliği,Elektronik,yl,tr,,,,,,
2023,798974,AHMET ANIL DÜNDAR,Hacettepe Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,Elektrik Elektronik,yl,ing,,,,,,
2023,799117,ASİYE RÜMEYSA ÜNSAL,Sakarya Uygulamalı Bilimler Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,Elektrik Elektronik Mühendisliği,yl,tr,,,,,,
2023,809220,AHMET MALAL,Orta Doğu Teknik Üniversitesi,Enformatik Enstitüsü,Siber Güvenlik,Siber Güvenlik,yl,ing,,,,,,
2023,817295,SERHAT TÜRK,Gebze Teknik Üniversitesi,fbe,Elektronik Mühendisliği,,yl,ing,,,,,,
2023,818184,BATTAL EREN BALDAN, Gebze Teknik Üniversitesi,fbe,Elektronik Mühendisliği,,yl,ing,,,,,,
2023,815260,TURAN ALP SARIKAYA, İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik Mühendisliği,Elektrik Mühendisliği,yl,ing,,,,,,
2023,821773,DORUK CAN ALTINTAŞ, Sabancı Üniversitesi,fbe,Elektronik Mühendisliği,,yl,ing,,,,,,
2023,824257,MEHMET AYDIN KARA,Marmara Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,Elektrik Elektronik Mühendisliği,yl,ing,,,,,,
2023,826045,MUHAMMET FATİH SERTKAYA,Ankara Yıldırım Beyazıt Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,Elektrik Elektronik Mühendisliği,yl,ing,,,,,,
2023,858602,SEZER MEMİŞ,İstanbul Teknik Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Savunma Teknolojileri,Savunma Teknolojileri,yl,ing,,,,,,
2023,853957,CAN AYDUMAN,Sabancı Üniversitesi,fbe,Elektronik,Elektronik,yl,ing,,,,,,
2023,746770,BEKİR ŞIVGA,Kayseri Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2023,645861,TEVFİK YİĞİT,Fırat Üniversitesi,fbe,Mekatronik Mühendisliği,Mekatronik Mühendisliği,dr,tr,,,,,,
2023,777658,YİĞİT BİLGİN,Yeditepe Üniversitesi,fbe,Bilgisayar Mühendisliği,,yl,ing,,,,,,
2023,840234,AYŞE AYLİN YAZMAN, Hacettepe Üniversitesi,fbe,Elektrik ve Elektronik Mühendisliği,,yl,tr,,,,,,
2023,775621,ABDELKADER LAZZEM,Sakarya Uygulamalı Bilimler Üniversitesi,Lisansüstü Eğitim Enstitüsü ,Elektrik ve Elektronik Mühendisliği,,yl,ing,,,,,,
2023,832418,BURAK HAN BENLİ,Ankara Üniversitesi ,fbe,Elektrik-Elektronik Mühendisliği,,yl,tr,,,,,,
2023,877484,MEHMET SAİT EROĞLU,Boğaziçi Üniversitesi,fbe,Elektrik-Elektronik Mühendisliği,,yl,ing,,,,,,
